lr,iterations,accuracy,loss
0.13126528,146.0,0.631686,1.5438317
0.13216367,147.0,0.6318026,1.5186706
0.13306205,148.0,0.6322123,1.3423668
0.13396043,149.0,0.63228154,1.4352851
0.13485882,150.0,0.63213295,1.5361673
0.1357572,151.0,0.6319721,1.6876856
0.13665557,152.0,0.6319045,1.525009
0.13755396,153.0,0.6319729,1.536368
0.13845234,154.0,0.6317465,1.6223732
0.13935071,155.0,0.63167673,1.7215395
0.1402491,156.0,0.6315439,1.6419963
0.14114748,157.0,0.631679,1.5736994
0.14204587,158.0,0.63166875,1.472008
0.14294425,159.0,0.6315725,1.7101264
0.14384262,160.0,0.63172305,1.5442413
0.14474101,161.0,0.6318128,1.451053
0.14563939,162.0,0.6317149,1.6206969
0.14653777,163.0,0.6316438,1.5526747
0.14743616,164.0,0.6314369,1.6260473
0.14833453,165.0,0.63143295,1.4740423
0.14923291,166.0,0.6313382,1.5649419
0.1501313,167.0,0.6309581,1.8027612
0.15102968,168.0,0.6309012,1.596372
0.15192805,169.0,0.6307486,1.6498104
0.15282644,170.0,0.63089263,1.5116313
0.15372482,171.0,0.63078547,1.5250143
0.1546232,172.0,0.630626,1.7524786
0.15552159,173.0,0.6307123,1.5326302
0.15641996,174.0,0.6305774,1.6047136
0.15731834,175.0,0.63073444,1.4053475
0.15821673,176.0,0.63080674,1.6292404
0.1591151,177.0,0.6308659,1.5618262
0.16001348,178.0,0.63079035,1.6324656
0.16091187,179.0,0.63090944,1.4277664
0.16181025,180.0,0.6308967,1.4784594
0.16270864,181.0,0.6309364,1.5618389
0.16360702,182.0,0.63096696,1.6454772
0.16450539,183.0,0.6310986,1.4734172
0.16540378,184.0,0.6308336,1.8081568
0.16630216,185.0,0.6307868,1.5081834
0.16720054,186.0,0.6306987,1.6345562
0.16809893,187.0,0.63046324,1.7539
0.1689973,188.0,0.6305373,1.590269
0.16989568,189.0,0.63075405,1.4327806
0.17079407,190.0,0.6309019,1.5027714
0.17169245,191.0,0.63074905,1.6411155
0.17259082,192.0,0.6307286,1.5340204
0.17348921,193.0,0.63073784,1.4870777
0.17438759,194.0,0.6306609,1.610766
0.17528597,195.0,0.6307455,1.5391021
0.17618436,196.0,0.6308728,1.4989325
0.17708273,197.0,0.6308951,1.5271454
0.17798111,198.0,0.6307406,1.619466
0.1788795,199.0,0.6307339,1.6095421
0.17977788,200.0,0.6308486,1.4595122
0.18067625,201.0,0.63098556,1.3849652
0.18157464,202.0,0.6309298,1.5778258
0.18247302,203.0,0.6309807,1.4243972
0.18337141,204.0,0.63096434,1.5596881
0.18426979,205.0,0.63098925,1.5122108
0.18516816,206.0,0.6312026,1.3957272
0.18606655,207.0,0.63121134,1.5296167
0.18696493,208.0,0.63131523,1.4072107
0.1878633,209.0,0.6314188,1.4617846
0.1887617,210.0,0.63155264,1.5112717
0.18966007,211.0,0.6316929,1.3954526
0.19055845,212.0,0.6317438,1.5355492
0.19145684,213.0,0.63179696,1.4733009
0.19235522,214.0,0.6318109,1.4726198
0.19325359,215.0,0.6318033,1.5487291
0.19415198,216.0,0.6320122,1.3260049
0.19505036,217.0,0.6318815,1.6832666
0.19594873,218.0,0.6320621,1.3615059
0.19684713,219.0,0.6319496,1.6853911
